 ==> 0.0027642056052
Kit, Chunyu ==> 0.000224513689032
Filimonov, Denis ==> 3.41028694375e-05
Megerdoomian, Karine ==> 5.35305390421e-05
Fuchi, Takeshi ==> 4.75360189892e-05
Kanda, Naoyuki ==> 2.9207358857e-05
Maxwell, Kerry G. ==> 3.86224729336e-05
Nederhof, Mark-Jan ==> 0.000323864430602
Weiss, Brian ==> 2.99590640243e-05
Kalmar, Paul ==> 3.26784285583e-05
Leermakers, Rene ==> 4.2285944134e-05
Yamada, Sae ==> 1.81875299107e-05
Chen, Conrad ==> 3.52351683927e-05
Schutze, Carson T. ==> 8.55811062674e-05
Sato, Kengo ==> 0.000102193229398
Root, Rebecca ==> 2.99605664479e-05
Jacobs, Paul S. ==> 0.000434630650332
Schneider, David ==> 0.000133219631392
Correira, Alfred ==> 2.21973814588e-05
Suktarachan, Mukda ==> 4.94443846432e-05
Ragheb, Ahmed ==> 1.80816003594e-05
Matsushita, Mitsunori ==> 3.03516162465e-05
Bunker, Ross T. ==> 0.000209658072249
Irwin, Joseph ==> 1.8694959792e-05
Callaghan, Paul ==> 4.01354866689e-05
Bungeroth, Jan ==> 2.07384098419e-05
Mercer, Robert L. ==> 0.00346614494664
Piwek, Paul ==> 4.51690374062e-05
Wu, Mingli ==> 0.000105504803569
Rimon, Mori ==> 9.73899523402e-05
Van Guilder, Linda ==> 3.54898780173e-05
Ko, David ==> 3.21939307489e-05
Asker, Lars ==> 0.000112663133456
Kelly, Diane ==> 5.86495582486e-05
Itoh, Nobuyasu ==> 4.25750547518e-05
Nagata, Ryo ==> 0.000168635580538
Wong, Yuk Wah ==> 0.00012964348074
Verleg, Andre ==> 0.000118866962517
Gali, Karthik ==> 4.64095633212e-05
Rijke, Maarten ==> 2.19381810158e-05
Mitchell, Tom T. ==> 4.45001951337e-05
Correia, Anabela ==> 3.87568963715e-05
Arosio, Fabrizio ==> 5.73995834825e-05
Zhao, Qunhua ==> 3.87743907635e-05
Rajan, Jayant V. ==> 7.88459217533e-05
Chien, Arnold J. ==> 2.26661679295e-05
Hacioglu, Kadri ==> 0.00068583291097
Halldorsson, Magnus M. ==> 3.40437327646e-05
Henschel, Renate ==> 0.00016544338003
Krovetz, Robert ==> 4.21825057553e-05
Davis, Mark W. ==> 3.55559378836e-05
Goldberg, Jeff ==> 2.71577056961e-05
Wilpon, Jay G. ==> 6.60140322639e-05
Saarikoski, Harri M. T. ==> 2.38647834029e-05
Fleisch, Axel ==> 2.10310090858e-05
Su, Fangzhong ==> 4.77313345872e-05
Arehart, Mark ==> 1.86574768476e-05
Lee, Jae-Won ==> 4.99482824758e-05
Spiro, Rand J. ==> 1.77467128563e-05
Rogers, James ==> 0.000106600933477
Yoshie, Makoto ==> 2.60219674727e-05
Merlo, Paola ==> 0.000760888427406
Ross, Kenneth M. ==> 5.41680805375e-05
Langeweg, Simone ==> 1.78645955191e-05
Rooth, Mats ==> 0.000587457188627
Vercoe, Barry ==> 2.24076972781e-05
Vu, Thuy ==> 2.27861616448e-05
Polanyi, Livia ==> 0.000270270131258
Wedekind, Jurgen ==> 0.00027639491248
Sharman, R. A. ==> 6.21092004836e-05
Ravichandran, Deepak ==> 0.000565829838829
Myers, Karen ==> 9.05134834981e-05
Gillam, Lee ==> 2.89068088291e-05
Saravanan, K. ==> 4.38287101091e-05
Yu, Shi-Wen ==> 3.2438909813e-05
Cicekli, Ilyas ==> 3.59462710768e-05
Blanc, Olivier ==> 2.34583808174e-05
Meyer-Viol, Wilfried ==> 2.5184917105e-05
Buchberger, Ernst ==> 6.51974962809e-05
Gomez-Hidalgo, Jose Maria ==> 2.62536813875e-05
Berger, Adam L. ==> 0.00123534247229
Kato, K. ==> 3.62554614421e-05
Greiff, Warren R. ==> 2.73534612981e-05
Kupin, Joseph ==> 2.6491657608e-05
Hoeppner, Wolfgang ==> 1.91302351927e-05
Wu, Shih-Hung ==> 2.97183234599e-05
Tepper, Michael ==> 2.87306245176e-05
Wu, Chien-Cheng ==> 2.67231479238e-05
Bottcher, Martin ==> 2.3337300657e-05
Levy, Leon S. ==> 1.88403362272e-05
Guillotin, T. ==> 3.58168444847e-05
Harabagiu, Sanda M. ==> 0.00136015497405
Gaiffe, Bertrand ==> 3.49394995329e-05
Forsyth, David A. ==> 5.01404575825e-05
Shoshani, Arie ==> 2.5753063881e-05
Hussmann, Michael J. ==> 2.48432675739e-05
Montes-Y-Gomez, Manuel ==> 3.07345205706e-05
Korkmaz, Emin Erkan ==> 3.69413240942e-05
Lavelli, Alberto ==> 0.000291183363499
Zhu, Wei-Zhong ==> 1.91375599073e-05
De Marneffe, Marie-Catherine ==> 8.19015785964e-05
Pollard, Elaine ==> 2.92199511876e-05
Ohta, Tomoko ==> 0.000248897636075
Martinez, Raquel ==> 0.000167568028972
Mairesse, François ==> 9.15286110777e-05
Glover, Bonnie ==> 0.000117186012106
Herzog, Martha ==> 2.48544946585e-05
Menn, Lise ==> 4.2026398591e-05
Hemphill, Charles T. ==> 0.000200133118333
Tomabechi, Hideto ==> 8.90326943617e-05
May, Jonathan ==> 0.000101652421348
Parvaz, Dan ==> 5.73811991027e-05
Han, Kyoung-Soo ==> 2.93628422922e-05
Ulmann, Martin S. ==> 2.12538630893e-05
Thrun, Sebastian ==> 4.53410602241e-05
Romano, Lorenza ==> 0.00014205680454
Araki, Tetsuo ==> 4.85450229333e-05
Huang, Xuanjing ==> 5.45988412981e-05
Garbuio, Lorenzo ==> 3.2049369707e-05
Jean-Marie, Francois ==> 4.09001930329e-05
Borissova, Elena ==> 1.97768189702e-05
Esteban, Jose ==> 2.65149523444e-05
Tomita, Masaru ==> 0.000335922913537
Hempelmann, Christian F. ==> 7.00544706604e-05
Kasahara, Kaname ==> 4.90799526062e-05
Muoz, R. ==> 5.63755644904e-05
Chan, Shing-Kit ==> 9.26179520074e-05
Yuan, Wei ==> 5.28384311033e-05
McTear, Michael F. ==> 2.52072959045e-05
Collins, Michael John ==> 0.00367642942935
Maier, David ==> 2.94051847142e-05
Park, Jungyeul ==> 2.30588153132e-05
Zhang, Yibo ==> 1.93256408646e-05
Zhao, Ying ==> 3.24078044704e-05
Kim, Seokhwan ==> 3.04221344631e-05
Cannesson, Emmanuelle ==> 2.07495631797e-05
Morton, Thomas S. ==> 0.000187710972866
Luquet, Pierre-Sylvain ==> 5.564384946e-05
Dauphin, Eva ==> 9.85788559999e-05
Huang, Bryant ==> 7.01604175441e-05
Roukos, Salim ==> 0.00238029912044
Liu, Yixuan ==> 2.61437285593e-05
Yoshimura, W. ==> 3.62554614421e-05
Cohen, Michael ==> 4.6642684395e-05
Boda, Peter Pal ==> 1.77089582397e-05
Swanson, Reid ==> 8.62581828908e-05
Douthat, A. ==> 3.39561485208e-05
Manganaro, Linda ==> 4.26271563097e-05
Ng, Hwee Tou ==> 0.00204647083398
Ahlswede, Thomas E. ==> 0.000210794189927
Sehitoglu, Onur T. ==> 1.80206453499e-05
Kawazoe, Ai ==> 3.81527353085e-05
Murphy, Kevin ==> 3.81964048276e-05
Ibekwe-SanJuan, Fidelia ==> 6.66283739397e-05
Kermes, Hannah ==> 4.11630246921e-05
Zhang, Guoqing ==> 2.88492745902e-05
Csirik, János ==> 0.00015017320882
Pan, Yue ==> 4.66698201507e-05
Mather, Laura A. ==> 7.32732905665e-05
Mexia, Joao ==> 3.4073190129e-05
Martinez-Barco, Patricio ==> 0.000143308738571
Wei, Yu-Chuan ==> 3.13109158362e-05
Alam, Hassan ==> 2.58287673173e-05
Kundu, Amlan ==> 2.73534612981e-05
Soon, Wee Meng ==> 0.000282161553334
Bloom, Jonathan ==> 2.65530383164e-05
de Pablo-Sanchez, Cesar ==> 2.55037975563e-05
Soudi, Abdelhadi ==> 4.66167907126e-05
Carvey, Hannah ==> 8.35558000153e-05
Knopp, Johannes ==> 5.35529878614e-05
Biber, Douglas ==> 9.63623733138e-05
Ule, Tylman ==> 5.57927298292e-05
Chang, Jing-Shin ==> 0.00024262211752
Moulin, Bernard ==> 2.24748388261e-05
Garcia, Ernest V. ==> 1.8694959792e-05
Ciravegna, Fabio ==> 0.000126012163469
Bosch, Sonja ==> 2.10310090858e-05
Sawamura, Eiji ==> 4.156787406e-05
Désilets, Alain ==> 1.94423791147e-05
Wang, Haifeng ==> 0.000453113650977
Gopalan, Banu ==> 2.42924164022e-05
Watanabe, Yotaro ==> 6.15922497786e-05
Glachin, Egidio P. ==> 6.97413416506e-05
Slator, Brian M. ==> 0.000126090557384
Tanimoto, Steven L. ==> 2.43566688969e-05
Tomasic, Anthony ==> 3.13172772041e-05
Baldwin, Breck ==> 0.000347379350627
Max, Aurélien ==> 0.000115417138928
Oflazer, Kemal ==> 0.000834284335484
Skadina, Inguna ==> 2.55552664199e-05
Pinchak, Christopher ==> 5.78632779581e-05
George, Bryan ==> 1.77201097804e-05
Park, Hunil ==> 2.01785679515e-05
Inagaki, Yasuyoshi ==> 0.000145593428571
Kim, Jee-Hyub ==> 2.94756917491e-05
Roy, Nicholas ==> 4.53410602241e-05
Winiwarter, Werner ==> 1.77979900596e-05
Ward, Nigel ==> 3.63975224022e-05
Mitchell, Jeff ==> 3.09173198217e-05
Gentile, Anna Lisa ==> 2.93420050359e-05
Buckland, Michael ==> 1.94708981769e-05
Nguyen, Patrick ==> 0.000109811011344
Wang, Guangwei ==> 2.13783483923e-05
Wang, Arthur ==> 2.77812714805e-05
Takagi, Shinichiro ==> 4.75360189892e-05
Hartono, Rachmat ==> 2.58287673173e-05
Bergsma, Shane ==> 0.000271484114006
Cardinal, Patrick ==> 2.24015322107e-05
Gabay, David ==> 6.59145281917e-05
Macklovitch, Elliott ==> 9.02820187087e-05
Ferro, Lisa ==> 0.000133530711126
Kameyama, Megumi ==> 0.000506225764809
Ge, Niyu ==> 0.000257692826355
Quixal, Martí ==> 2.4003168637e-05
Smith, Jason ==> 0.000111711864782
Kim, Seongyong ==> 2.66093364851e-05
Zhang, Dakun ==> 4.65309290713e-05
Yusuf, Hammam R. ==> 3.10180174523e-05
Klingenstein, Sara ==> 6.01908128944e-05
Su, Jian ==> 0.00118518169585
King, Paul John ==> 3.74431147351e-05
Bhattacharyya, Pushpak ==> 0.00012274005209
Clark, Stephen ==> 0.00132464914453
Dayang, Shen ==> 0.0001061852211
Monte, Enric ==> 3.99811080562e-05
Sun, Ye ==> 6.09423064236e-05
Asher, Nicholas ==> 0.000177865347299
Beale, Stephen ==> 0.000256757377483
Castano, Jose M. ==> 0.000119139535031
Liang, Lin ==> 3.02039091605e-05
Hu, Rile ==> 3.7554486961e-05
Lee, Chi-Hoon ==> 3.66124509741e-05
Busby, George ==> 6.03022937983e-05
Burstein, Jill ==> 0.000258140525636
Taura, Kenjiro ==> 2.99078292789e-05
Tom, Janet ==> 2.04770498183e-05
Winkel, Adam ==> 3.353666285e-05
Kaplan, S. Jerrold ==> 8.52689425347e-05
Busemann, Stephan ==> 0.00027609475953
Ichikawa, A. ==> 3.62554614421e-05
Hahn, Stefan ==> 2.3023372289e-05
Mann, Gideon S. ==> 0.000504733935219
Musgrave, Simon ==> 2.56969560202e-05
Samy, Doaa ==> 4.50239550679e-05
Israel, David J. ==> 0.000202655405957
Davis, Jenny ==> 2.19870300644e-05
Johnson, Christopher ==> 4.46429472407e-05
YingJu, Xia ==> 3.44205801217e-05
Wright Hastie, Helen ==> 5.68898076704e-05
Izagirre, Eli ==> 2.5454996093e-05
Brandow, Ronald ==> 7.15648149977e-05
Cimiano, Philipp ==> 9.0603188288e-05
Weimer, Markus ==> 4.98692385578e-05
Leidner, Jochen L. ==> 7.56027624204e-05
Hartmann, Knut ==> 1.82444729885e-05
Bonneau-Maynard, Hélène ==> 9.20429135164e-05
Psutka, J. ==> 2.66364579273e-05
Yuura, Katsuhiko ==> 5.84298975534e-05
Kukich, Karen ==> 0.00030455520947
Yamasaki, Noriyuki ==> 2.88419056449e-05
Ritz, Julia ==> 2.63745709149e-05
O'Donnell, Michael ==> 0.00018166470282
Ibrahim, Ali ==> 5.81142924211e-05
Agarwal, Abhaya ==> 0.000123507938005
Abouzakhar, Nasser ==> 2.79777446614e-05
Sanchez, Antonio Vaquero ==> 2.44734850069e-05
Sehgal, Aditya Kumar ==> 1.80816003594e-05
Yuen, Denis ==> 5.61806454519e-05
Deksne, Daiga ==> 2.55552664199e-05
Nahnsen, Thade ==> 3.61488014129e-05
Elhadad, Noemie ==> 0.000134613941587
Kaisser, Michael ==> 5.22982494529e-05
Ylilammi, Matti ==> 8.53514041961e-05
Cappé, Olivier ==> 2.55231589367e-05
Feng, Junlan ==> 3.17013710056e-05
Engel, Donald ==> 3.75390298457e-05
Alonso Alemany, Laura ==> 6.13154019247e-05
Xia, Xinsong ==> 9.57772224209e-05
Strzalkowski, Tomek ==> 0.000813448677282
Winters, Scott ==> 0.000178086228697
Binnick, Robert I. ==> 0.000111284219898
Suh, Sungki ==> 2.36170500187e-05
Light, Marc ==> 0.000279258624317
Steedman, Mark ==> 0.000835421009025
Tsai, Dylan B. S. ==> 5.84699672585e-05
Yu, Jin ==> 6.35365042756e-05
Kerre, Etienne ==> 2.51754142311e-05
Freeman, Andrew ==> 3.94332137441e-05
Fisher, Seeger ==> 9.23556794936e-05
Sawai, Susumu ==> 2.26194827738e-05
Marciniak, Tomasz ==> 7.25921529088e-05
Langkilde, Irene ==> 0.000490269976094
Pentheroudakis, Joseph ==> 2.24355789661e-05
Cartwright, Timothy A. ==> 1.89100605553e-05
Bieler, Heike ==> 2.44214941364e-05
Eastmond, John F. G. ==> 2.49309941434e-05
Gillick, Dan ==> 4.68510740033e-05
Schuler, William ==> 0.000185673811491
Tsuruoka, Akio ==> 7.72238929845e-05
Gallo, Carlos Gómez ==> 2.09480760949e-05
Zeiler, Shawn ==> 6.09423064236e-05
Mariño, José B. ==> 3.14856968674e-05
Sarma, Vaijayanthi ==> 2.07060782587e-05
Myllari, Aleksandr ==> 2.31771429742e-05
El-Kahlout, Ilknur Durgar ==> 2.38880915993e-05
Dunne, Simon ==> 2.78356700441e-05
Manandhar, Suresh ==> 0.000217750497765
Rabiega-Wisniewska, Joanna ==> 4.38471893845e-05
Santaholma, Marianne ==> 0.000134521879172
Katz, Karen ==> 0.000341081050114
Gruenstein, Alexander ==> 0.000138805991428
Snyder, Benjamin ==> 0.000280430413317
Jauhiainen, Krista ==> 3.18396488648e-05
Okamoto, Jun ==> 1.95080679742e-05
Dahlback, Nils ==> 9.46118845128e-05
Cui, Hang ==> 4.10460571757e-05
Kirsten, Mathias ==> 3.25951036429e-05
Mitra, Pabitra ==> 9.75581579601e-05
Shieber, Stuart M. ==> 0.00148937007457
Lua, Kim-Teng ==> 6.08386772542e-05
Kohl, Dieter ==> 4.58246398892e-05
Albrecht, Joshua ==> 0.000121663064563
Bestougeff, Helene ==> 1.94840649465e-05
Benedict, Richard ==> 4.60265592471e-05
Shrestha, Lokesh ==> 5.91054531272e-05
Kveton, Pavel ==> 0.000168346644432
Wolska, Magdalena ==> 8.12854068376e-05
Yu, Bin ==> 3.63728089706e-05
Kato, Susumu ==> 2.61162418142e-05
Reddy, Manohar ==> 3.86452126911e-05
Gomez-Rodriguez, Carlos ==> 3.09192581499e-05
Canisius, Sander ==> 0.000143912535572
Ibushi, Katsutoshi ==> 7.67818061541e-05
Hardy, Hilda ==> 6.46337330823e-05
Oh, Jong-Hoon ==> 0.00015819877964
Kambayashi, Yahiko ==> 1.77979900596e-05
Semecky, Jiri ==> 5.64611703483e-05
Xu, Wei ==> 7.42910278306e-05
De Rossi, Gianluca ==> 3.63231255796e-05
Zhao, Jun ==> 0.000297133942173
Liu, Juan ==> 2.6890307574e-05
Ooyama, Yoshifumi ==> 6.21823085316e-05
Gillon, Brendan S. ==> 2.52897358932e-05
Takeuchi, Masahito ==> 2.4340499266e-05
Vega, Jose ==> 3.46531485637e-05
Laws, Florian ==> 5.17540106383e-05
Simonova, O. P. ==> 0.000111284219898
Coheur, Luisa ==> 4.350427203e-05
Liden, Per ==> 6.51622982605e-05
Consoli, Carlo ==> 3.59046325179e-05
Ceberio, Klara ==> 2.50345300514e-05
Biermann, Alan W. ==> 0.000417673204427
Horacek, Helmut ==> 0.000302791811524
Liu, Jianyi ==> 2.43472013884e-05
Bian, Guo-Wei ==> 6.8778620664e-05
Volosen, Ionut ==> 3.70643878686e-05
Ovrelid, Lilja ==> 4.46249825477e-05
Thompson, Henry S. ==> 0.000168864376238
Li, Fangtao ==> 2.65284038971e-05
