
Ucoluk, Gokturk ==> 2.84117367292e-05
Filimonov, Denis ==> 4.81644960214e-05
Megerdoomian, Karine ==> 4.26525763064e-05
Fuchi, Takeshi ==> 3.20162528009e-05
Kanda, Naoyuki ==> 2.17644693772e-05
Maxwell, Kerry G. ==> 2.97019123542e-05
Pal, Santanu ==> 7.65415054096e-05
Nederhof, Mark-Jan ==> 0.000279714626886
Weiss, Brian ==> 2.29820951929e-05
Buczy&Aring;~Dski, Aleksander ==> 2.6606002598e-05
Kalmar, Paul ==> 3.09730010888e-05
Leermakers, Rene ==> 3.3027682487e-05
Schreitter, Stephanie ==> 2.13672658763e-05
&#x8E;abokrtsk&yacute;, Zden&#x11B;k ==> 0.000162682817408
Yamada, Sae ==> 1.46591195829e-05
Wyse, Brendan ==> 1.66274984944e-05
Chen, Conrad ==> 3.89995446928e-05
Schutze, Carson T. ==> 7.02330345343e-05
Sato, Kengo ==> 6.8095618335e-05
Roy, Maxim ==> 3.38822554664e-05
Root, Rebecca ==> 2.44321450102e-05
Jacobs, Paul S. ==> 0.000323810833044
Schneider, David ==> 0.000103329914301
Chakaravarthy, Venkatesan T. ==> 2.50342347469e-05
Correira, Alfred ==> 1.8121863934e-05
Suktarachan, Mukda ==> 5.79369826237e-05
Ragheb, Ahmed ==> 1.47440013445e-05
Zhou, Xiao ==> 1.51719724517e-05
Matsushita, Mitsunori ==> 2.37196697195e-05
Kaplan, Frederic ==> 4.10600567259e-05
Bunker, Ross T. ==> 0.000188514550047
Irwin, Joseph ==> 1.51561366608e-05
Zhitomirsky-Geffet, Maayan ==> 3.45784063489e-05
Callaghan, Paul ==> 3.20127964855e-05
Bottner, Michael ==> 2.48290277568e-05
Goehring, Anne ==> 2.59683777623e-05
Mercer, Robert L. ==> 0.00273694480767
Huggins, Jonathan ==> 1.53303723233e-05
Piwek, Paul ==> 4.51584742276e-05
Wu, Mingli ==> 9.46529475863e-05
Machado, Andr&eacute; ==> 1.58614211289e-05
Rimon, Mori ==> 7.56959875293e-05
Hagen, Eli ==> 3.05212442319e-05
Wilson, Shomir ==> 2.1545827762e-05
Van Guilder, Linda ==> 2.75700889961e-05
Ko, David ==> 2.6272770229e-05
Everson, Richard ==> 3.48520240611e-05
Asker, Lars ==> 0.00011061999209
Small, Kevin ==> 4.12368666292e-05
Kelly, Diane ==> 4.7362950688e-05
Itoh, Nobuyasu ==> 3.40427125458e-05
Rusk, Gregory M. ==> 2.39818583265e-05
Wong, Yuk Wah ==> 0.000125101223761
Fillmore, Nathanael ==> 2.85158430089e-05
