Ucoluk, Gokturk ==> 2.50129323214e-09
Filimonov, Denis ==> 2.0524371849e-06
Megerdoomian, Karine ==> 0.000174005374382
Fuchi, Takeshi ==> 1.03536077225e-06
Kanda, Naoyuki ==> 2.13596282074e-07
Maxwell, Kerry G. ==> 2.76771556172e-06
Pal, Santanu ==> 4.10193739192e-05
Nederhof, Mark-Jan ==> 0.000543816204963
Weiss, Brian ==> 1.45732958846e-08
Kalmar, Paul ==> 1.99692143675e-07
Leermakers, Rene ==> 1.22695489163e-06
Schreitter, Stephanie ==> 3.15731819614e-07
Yamada, Sae ==> 0.0
Wyse, Brendan ==> 2.01445578508e-10
Chen, Conrad ==> 1.23181897966e-06
Schutze, Carson T. ==> 0.000173084853373
Sato, Kengo ==> 5.04533649956e-06
Roy, Maxim ==> 4.22733395805e-07
Root, Rebecca ==> 1.93572203665e-06
Jacobs, Paul S. ==> 0.000909485122588
Schneider, David ==> 7.90085605974e-05
Chakaravarthy, Venkatesan T. ==> 8.77403841487e-07
Correira, Alfred ==> 3.45943178699e-07
Last, Mark ==> 1.48968410384e-05
Ragheb, Ahmed ==> 0.0
Zhou, Xiao ==> 0.0
Matsushita, Mitsunori ==> 3.98749744905e-07
Kaplan, Frederic ==> 0.0
Bunker, Ross T. ==> 2.98050799619e-05
Irwin, Joseph ==> 7.3736283644e-09
Zhitomirsky-Geffet, Maayan ==> 1.27188851767e-05
Callaghan, Paul ==> 1.65724555492e-06
Bottner, Michael ==> 0.0
Goehring, Anne ==> 6.43348521827e-09
Mercer, Robert L. ==> 0.0114725045529
Huggins, Jonathan ==> 0.0
Piwek, Paul ==> 6.22241021873e-06
Wu, Mingli ==> 8.383061206e-06
Machado, Andr&eacute; ==> 8.59460949517e-08
Rimon, Mori ==> 0.00012836234105
Hagen, Eli ==> 3.52543040152e-07
Wilson, Shomir ==> 1.69121603169e-07
Van Guilder, Linda ==> 2.38048414812e-07
Ko, David ==> 1.37423793819e-06
Everson, Richard ==> 5.06926160812e-08
Asker, Lars ==> 0.000101875114507
Wang, Yong-Cheng ==> 0.0
Kelly, Diane ==> 2.47476725053e-06
Itoh, Nobuyasu ==> 2.30039648031e-07
Mujdricza-Maydt, Eva ==> 2.48589534211e-08
Rusk, Gregory M. ==> 1.7110396374e-07
Wong, Yuk Wah ==> 3.45985158232e-05
Fillmore, Nathanael ==> 2.21188038938e-06
Turhan, Cigdem Keyder ==> 4.14059198397e-07
Verleg, Andre ==> 3.73672162072e-05
Rawal, Chetan ==> 0.0
Gali, Karthik ==> 7.20762633018e-06
Koeva, Svetla ==> 0.000346036101404
S&aacute;ndor, &Aacute;gnes ==> 0.0
Pan, Ching-Fen ==> 0.0
Auli, Michael ==> 4.67642866805e-06
Turchin, Alexander ==> 4.80837314834e-07
Arosio, Fabrizio ==> 2.18920022592e-06
Moreno, Asunci&oacute;n ==> 3.77710459702e-08
Zhao, Qunhua ==> 2.53838023882e-07
Zhai, Zhongwu ==> 7.03516718925e-07
Rajan, Jayant V. ==> 1.08798778237e-05
Chien, Arnold J. ==> 1.03866665736e-08
Hacioglu, Kadri ==> 0.000573563956338
Halldorsson, Magnus M. ==> 4.37303213107e-08
Henestroza Anguiano, Enrique ==> 7.01416752555e-06
Henschel, Renate ==> 0.00031644410537
Tomasoni, Mattia ==> 8.32632765371e-07
Oken, Barry ==> 5.5957105141e-10
Krovetz, Robert ==> 3.652639257e-06
Davis, Mark W. ==> 8.11055597289e-07
Reddy, Siva ==> 2.05641362505e-06
Goldberg, Jeff ==> 1.09432520025e-07
Wilpon, Jay G. ==> 5.33869468443e-06
Be&ntilde;a, Peter ==> 6.43487314536e-06
Finlayson, Mark ==> 7.35931271343e-06
&#x106;avar, Damir ==> 2.14903692954e-07
Fleisch, Axel ==> 0.0
Choejey, Pema ==> 0.0
Su, Fangzhong ==> 1.25397747218e-06
Tsukahara, Nobuyuki ==> 1.0403055532e-07
Vazov, Nikolai ==> 1.01838961071e-06
Kumamoto, Tadahiko ==> 8.99652215703e-09
Lee, Jae-Won ==> 2.47412960262e-06
Spiro, Rand J. ==> 0.0
Murthy, Karin ==> 8.88853273034e-07
Rogers, James ==> 1.8209100004e-05
Yoshie, Makoto ==> 2.22170171484e-08
Miguel, Mario Crespo ==> 0.0
Solway, Ben ==> 0.0
Merlo, Paola ==> 0.0010503903134
Ross, Kenneth M. ==> 8.69190751297e-06
Langeweg, Simone ==> 0.0
Joyce, Terry ==> 0.0
Katsumaru, Masaki ==> 1.21780277944e-06
Rooth, Mats ==> 0.000362659253699
Vercoe, Barry ==> 7.56149030797e-10
Vu, Thuy ==> 2.72124291433e-06
Cheikes, Brant A. ==> 2.70736314214e-10
Wedekind, Jurgen ==> 8.33382225381e-05
Tchalakova, Maria ==> 0.0
Sharman, R. A. ==> 5.17710613756e-07
Ravichandran, Deepak ==> 0.000566195803926
Wang, Ziqi ==> 1.15499650587e-06
Myers, Karen ==> 4.22780390217e-06
Gillam, Lee ==> 0.0
Davy, Ian P. ==> 1.761106629e-07
Hoeks, John ==> 0.0
Cicekli, Ilyas ==> 5.77009894848e-06
Ruangrajitpakorn, Taneth ==> 7.63977321209e-06
Meyer-Viol, Wilfried ==> 4.37005805886e-07
Buchberger, Ernst ==> 2.58066035931e-05
Rodrigues, Paul ==> 4.688124544e-09
Berger, Adam L. ==> 0.00245760069326
Kato, K. ==> 1.6745911527e-07
Keller, Nicholas ==> 2.58991867701e-06
Kupin, Joseph ==> 0.0
Poka, Venkateswarlu ==> 0.0
Aharodnik, Katsiaryna ==> 2.75597752242e-09
Hoeppner, Wolfgang ==> 0.0
Wu, Shih-Hung ==> 0.000109269256065
Tepper, Michael ==> 1.82488693297e-08
Wu, Chien-Cheng ==> 8.0289522075e-09
Bottcher, Martin ==> 2.15526318144e-09
Levy, Leon S. ==> 0.0
Guillotin, T. ==> 4.1878956118e-08
Ligorio, Tiziana ==> 5.04633271257e-06
Harabagiu, Sanda M. ==> 0.00378149274764
Gaiffe, Bertrand ==> 1.98914614074e-05
Johnson, Aaron ==> 0.0
Suktarachan, Mukda ==> 8.172708346e-05
Lua, KimTeng ==> 2.22463431953e-06
Shoshani, Arie ==> 0.0
Stolbach, Sara ==> 1.41295079876e-07
Hussmann, Michael J. ==> 1.55004553551e-07
Huang, Fang-Lan ==> 2.30769449331e-10
Korkmaz, Emin Erkan ==> 2.50129323214e-09
Lavelli, Alberto ==> 0.000423589586742
Zhu, Wei-Zhong ==> 4.90432294164e-08
R&auml;&auml;bis, Andriela ==> 6.32653505694e-07
Pollard, Elaine ==> 0.0
Ohta, Tomoko ==> 0.000507505641312
Miwa, Makoto ==> 6.20228625527e-06
Nunes, Maria das Gra&ccedil;as Volpe ==> 0.0
Herzog, Martha ==> 1.37239310295e-07
Menn, Lise ==> 1.15079373329e-07
Hemphill, Charles T. ==> 0.000279274790348
Tomabechi, Hideto ==> 1.43968045334e-05
May, Jonathan ==> 2.22507122006e-05
Parvaz, Dan ==> 3.33701337423e-07
Han, Kyoung-Soo ==> 4.38527736866e-07
Ulmann, Martin S. ==> 0.0
Lintean, Mihai ==> 2.01445578508e-10
Romano, Lorenza ==> 6.74355134163e-05
Araki, Tetsuo ==> 1.0403055532e-07
Huang, Xuanjing ==> 0.000188073818378
Chang, Pi-Chuan ==> 9.73861012221e-05
Garbuio, Lorenzo ==> 6.05744045294e-08
Jean-Marie, Francois ==> 1.60750739337e-08
Dong, Qiang ==> 3.28321328972e-05
Redlawsk, David P. ==> 4.42289909573e-09
Hautli, Annette ==> 1.04216377431e-05
Borissova, Elena ==> 0.0
Esteban, Jose ==> 1.05538523342e-08
Tomita, Masaru ==> 0.000686819840794
Hempelmann, Christian F. ==> 0.000129920844173
Kasahara, Kaname ==> 2.94217378414e-07
Muoz, R. ==> 4.23137116129e-06
Dietzel, Taiko ==> 2.17341396898e-06
Yuan, Wei ==> 3.12725124271e-07
McTear, Michael F. ==> 2.50805764433e-09
Collins, Michael John ==> 0.0162844814378
Bungeroth, Jan ==> 2.01443473384e-10
Maier, David ==> 8.75229147703e-09
Ram, Ashwin ==> 0.0
Park, Jungyeul ==> 2.51986785221e-07
Zhang, Yibo ==> 0.0
Zhao, Ying ==> 4.81544012451e-09
Kim, Seokhwan ==> 2.06633014187e-06
Cannesson, Emmanuelle ==> 5.69512961605e-09
Morton, Thomas S. ==> 5.07671270954e-05
Luquet, Pierre-Sylvain ==> 2.43960492613e-05
Dauphin, Eva ==> 5.99592188051e-05
Huang, Bryant ==> 1.28820768549e-07
Roukos, Salim ==> 0.0120311818487
Liu, Yixuan ==> 8.39575831533e-08
Yoshimura, W. ==> 1.6745911527e-07
Cohen, Michael ==> 2.32378205094e-07
van Santen, Jan ==> 2.0205802013e-06
Hassel, Martin ==> 0.0
Voyer, Robert ==> 9.6184349538e-08
Hou, Min ==> 2.54707318299e-06
Boda, Peter Pal ==> 0.0
Swanson, Reid ==> 9.91027863269e-07
Douthat, A. ==> 5.2336327131e-07
Manganaro, Linda ==> 1.85241750917e-06
Ben Gur, Assaf ==> 7.88807933012e-09
Ng, Hwee Tou ==> 0.0144352401091
Ahlswede, Thomas E. ==> 0.000313983627474
Sehitoglu, Onur T. ==> 0.0
Kawazoe, Ai ==> 1.47440542246e-06
Murphy, Kevin ==> 2.20979045399e-06
Ibekwe-SanJuan, Fidelia ==> 3.12835115984e-06
Kermes, Hannah ==> 6.48438140864e-07
Rattanamanee, Patthrawan ==> 1.49094620322e-06
Vargas-Vera, Maria ==> 0.0
Zhang, Guoqing ==> 6.26288078318e-07
Pan, Yue ==> 2.14539177165e-06
