 ==> 0.0272685061979
Kit, Chunyu ==> 0.000504029339336
Filimonov, Denis ==> 1.29862436811e-08
Megerdoomian, Karine ==> 0.0002230911358
Fuchi, Takeshi ==> 5.81313257188e-06
Kanda, Naoyuki ==> 1.05937872673e-07
Maxwell, Kerry G. ==> 4.14484294078e-06
Nederhof, Mark-Jan ==> 0.000514565427622
Weiss, Brian ==> 4.05663113346e-08
Kalmar, Paul ==> 5.51396591822e-07
Leermakers, Rene ==> 2.05934861929e-06
Yamada, Sae ==> 0.0
Chen, Conrad ==> 1.10536777334e-07
Schutze, Carson T. ==> 0.000221509066896
Sato, Kengo ==> 9.87801418184e-06
Root, Rebecca ==> 2.93810106732e-06
Jacobs, Paul S. ==> 0.00143049866
Schneider, David ==> 0.000174733059166
Correira, Alfred ==> 5.64514520999e-07
Suktarachan, Mukda ==> 3.67654427603e-05
Ragheb, Ahmed ==> 0.0
Matsushita, Mitsunori ==> 7.22428133654e-07
Bunker, Ross T. ==> 5.89866483041e-05
Irwin, Joseph ==> 0.0
Callaghan, Paul ==> 2.64923801231e-06
Bungeroth, Jan ==> 3.43584561035e-10
Mercer, Robert L. ==> 0.0160535243699
Piwek, Paul ==> 9.73963137896e-07
Wu, Mingli ==> 1.00832892854e-05
Rimon, Mori ==> 0.00020024418647
Van Guilder, Linda ==> 4.34691894008e-07
Ko, David ==> 2.4381485158e-06
Asker, Lars ==> 9.01008872268e-05
Kelly, Diane ==> 4.41899089904e-06
Itoh, Nobuyasu ==> 3.23158913961e-07
Nagata, Ryo ==> 0.000138680837718
Wong, Yuk Wah ==> 2.77411430408e-05
Verleg, Andre ==> 4.55479411961e-05
Gali, Karthik ==> 5.62984029097e-07
Rijke, Maarten ==> 7.74269572668e-10
Mitchell, Tom T. ==> 2.19611563679e-06
Correia, Anabela ==> 0.0
Arosio, Fabrizio ==> 5.03800053846e-06
Zhao, Qunhua ==> 2.17805428703e-07
Rajan, Jayant V. ==> 2.46067807134e-05
Chien, Arnold J. ==> 2.20441766909e-08
Hacioglu, Kadri ==> 0.00077181726173
Halldorsson, Magnus M. ==> 3.08183568565e-07
Henschel, Renate ==> 0.00058044025992
Krovetz, Robert ==> 1.31339130189e-06
Davis, Mark W. ==> 1.20808809865e-06
Goldberg, Jeff ==> 2.77745901621e-07
Wilpon, Jay G. ==> 9.08206023639e-06
Saarikoski, Harri M. T. ==> 1.11276340214e-08
Fleisch, Axel ==> 0.0
Su, Fangzhong ==> 1.68684398949e-07
Arehart, Mark ==> 0.0
Lee, Jae-Won ==> 4.63033592025e-06
Spiro, Rand J. ==> 0.0
Rogers, James ==> 1.67727040998e-05
Yoshie, Makoto ==> 2.93681155079e-08
Merlo, Paola ==> 0.00148683450675
Ross, Kenneth M. ==> 6.37808491362e-06
Langeweg, Simone ==> 0.0
Rooth, Mats ==> 0.000646517273256
Vercoe, Barry ==> 3.76268323979e-09
Vu, Thuy ==> 3.47253532243e-08
Polanyi, Livia ==> 0.000199759688792
Wedekind, Jurgen ==> 0.000142333256978
Sharman, R. A. ==> 1.10038084891e-06
Ravichandran, Deepak ==> 0.000495726674991
Myers, Karen ==> 5.68171031134e-06
Gillam, Lee ==> 0.0
Saravanan, K. ==> 5.57669869487e-07
Yu, Shi-Wen ==> 4.65542779225e-07
Cicekli, Ilyas ==> 2.41540559777e-06
Blanc, Olivier ==> 4.75286078672e-07
Meyer-Viol, Wilfried ==> 6.62491933882e-07
Buchberger, Ernst ==> 4.01587070881e-05
Gomez-Hidalgo, Jose Maria ==> 8.28352670761e-08
Berger, Adam L. ==> 0.00351369481501
Kato, K. ==> 2.7977552966e-07
Greiff, Warren R. ==> 2.95497996382e-07
Kupin, Joseph ==> 0.0
Hoeppner, Wolfgang ==> 0.0
Wu, Shih-Hung ==> 2.25319010594e-07
Tepper, Michael ==> 9.19759368045e-08
Wu, Chien-Cheng ==> 1.82266908388e-08
Bottcher, Martin ==> 4.54758433828e-09
Levy, Leon S. ==> 0.0
Guillotin, T. ==> 8.40296386544e-08
Harabagiu, Sanda M. ==> 0.00521823689557
Gaiffe, Bertrand ==> 2.17946586156e-05
Forsyth, David A. ==> 2.11601442307e-06
Shoshani, Arie ==> 0.0
Hussmann, Michael J. ==> 2.42167022859e-07
Montes-Y-Gomez, Manuel ==> 2.22282671104e-07
Korkmaz, Emin Erkan ==> 6.32847171619e-09
Lavelli, Alberto ==> 0.000535729792039
Zhu, Wei-Zhong ==> 0.0
De Marneffe, Marie-Catherine ==> 3.32867905569e-06
Pollard, Elaine ==> 0.0
Ohta, Tomoko ==> 7.99982248499e-05
Martinez, Raquel ==> 0.000121497865077
Mairesse, François ==> 5.37091764482e-05
Glover, Bonnie ==> 1.81648066541e-05
Herzog, Martha ==> 7.1199045766e-08
Menn, Lise ==> 2.4579218472e-07
Hemphill, Charles T. ==> 0.000478408084097
Tomabechi, Hideto ==> 2.67511490309e-05
May, Jonathan ==> 1.7048323105e-06
Parvaz, Dan ==> 7.5904934043e-07
Han, Kyoung-Soo ==> 7.93521677227e-07
Ulmann, Martin S. ==> 0.0
Thrun, Sebastian ==> 5.07818484363e-05
Romano, Lorenza ==> 5.55576711217e-05
Araki, Tetsuo ==> 1.05970291437e-07
Huang, Xuanjing ==> 1.62447673414e-06
Garbuio, Lorenzo ==> 1.1277782333e-07
Jean-Marie, Francois ==> 2.6380358713e-08
Borissova, Elena ==> 0.0
Esteban, Jose ==> 1.39418946307e-09
Tomita, Masaru ==> 0.00100077793124
Hempelmann, Christian F. ==> 0.000153420134554
Kasahara, Kaname ==> 2.87241613141e-08
Muoz, R. ==> 1.39862172189e-05
Chan, Shing-Kit ==> 9.26759203486e-06
Yuan, Wei ==> 6.61375837161e-07
McTear, Michael F. ==> 2.9986236743e-09
Collins, Michael John ==> 0.0202790991719
Maier, David ==> 1.63923914747e-08
Park, Jungyeul ==> 0.0
Zhang, Yibo ==> 0.0
Zhao, Ying ==> 6.76834195429e-09
Kim, Seokhwan ==> 1.29319890006e-07
Cannesson, Emmanuelle ==> 9.34810952427e-09
Morton, Thomas S. ==> 8.77097740467e-05
Luquet, Pierre-Sylvain ==> 5.53501828377e-05
Dauphin, Eva ==> 8.63891366615e-05
Huang, Bryant ==> 7.66258163623e-07
Roukos, Salim ==> 0.0128768150326
Liu, Yixuan ==> 1.49638716896e-07
Yoshimura, W. ==> 2.7977552966e-07
Cohen, Michael ==> 3.6115391863e-07
Boda, Peter Pal ==> 0.0
Swanson, Reid ==> 2.61975670156e-06
Douthat, A. ==> 5.34551714335e-07
Manganaro, Linda ==> 3.20498510914e-06
Ng, Hwee Tou ==> 0.0121631714962
Ahlswede, Thomas E. ==> 0.000474765943317
Sehitoglu, Onur T. ==> 0.0
Kawazoe, Ai ==> 1.55403489304e-06
Murphy, Kevin ==> 3.16205683886e-06
Ibekwe-SanJuan, Fidelia ==> 9.19061570126e-06
Kermes, Hannah ==> 8.93023489529e-07
Zhang, Guoqing ==> 1.10215681368e-06
Csirik, János ==> 0.000532218983763
Pan, Yue ==> 5.2939969511e-06
Mather, Laura A. ==> 9.39935920116e-06
Mexia, Joao ==> 1.22177796714e-07
Martinez-Barco, Patricio ==> 0.000175879595875
Wei, Yu-Chuan ==> 2.0638525603e-07
Alam, Hassan ==> 8.79863070595e-08
Kundu, Amlan ==> 2.95497996382e-07
Soon, Wee Meng ==> 8.18569701948e-05
Bloom, Jonathan ==> 1.54076607558e-07
de Pablo-Sanchez, Cesar ==> 1.55187762343e-08
Soudi, Abdelhadi ==> 1.21557934189e-06
Carvey, Hannah ==> 1.33013012575e-05
Knopp, Johannes ==> 5.86131603475e-05
Biber, Douglas ==> 3.06919336548e-05
Ule, Tylman ==> 1.78761392543e-06
Chang, Jing-Shin ==> 0.000346006676569
Moulin, Bernard ==> 0.0
Garcia, Ernest V. ==> 0.0
Ciravegna, Fabio ==> 0.000112895008726
Bosch, Sonja ==> 0.0
Sawamura, Eiji ==> 1.01910934141e-08
Désilets, Alain ==> 0.0
Wang, Haifeng ==> 0.000167608068798
Gopalan, Banu ==> 1.57236282449e-09
Watanabe, Yotaro ==> 1.67447289708e-06
Glachin, Egidio P. ==> 4.59690232885e-05
Slator, Brian M. ==> 3.19493482531e-05
Tanimoto, Steven L. ==> 0.0
Tomasic, Anthony ==> 1.23953061221e-08
Baldwin, Breck ==> 0.000566863484279
Max, Aurélien ==> 0.000257691466855
Oflazer, Kemal ==> 0.00365253280049
Skadina, Inguna ==> 1.0172348868e-07
Pinchak, Christopher ==> 1.90898182157e-06
George, Bryan ==> 0.0
Park, Hunil ==> 4.39702257726e-09
Inagaki, Yasuyoshi ==> 0.000560476100986
Kim, Jee-Hyub ==> 6.20077974191e-08
Roy, Nicholas ==> 5.07818484363e-05
Winiwarter, Werner ==> 0.0
Ward, Nigel ==> 2.67212495414e-06
Mitchell, Jeff ==> 1.52157495033e-07
Gentile, Anna Lisa ==> 2.32630420726e-06
Buckland, Michael ==> 0.0
Nguyen, Patrick ==> 1.67950891825e-05
Wang, Guangwei ==> 3.65178405867e-10
Wang, Arthur ==> 1.33474734817e-08
Takagi, Shinichiro ==> 5.81313257188e-06
Hartono, Rachmat ==> 8.79863070595e-08
Bergsma, Shane ==> 9.90325979524e-05
Cardinal, Patrick ==> 2.76544215958e-08
Gabay, David ==> 1.42684837059e-06
Macklovitch, Elliott ==> 2.80778511657e-05
Ferro, Lisa ==> 5.59956855333e-05
Kameyama, Megumi ==> 0.000703557457996
Ge, Niyu ==> 0.000147171446704
Quixal, Martí ==> 5.13139162818e-08
Smith, Jason ==> 8.59397561695e-06
Kim, Seongyong ==> 1.23883131627e-09
Zhang, Dakun ==> 2.54479744523e-08
Yusuf, Hammam R. ==> 3.04402078466e-06
Klingenstein, Sara ==> 6.58778783127e-06
Su, Jian ==> 0.0028873373883
King, Paul John ==> 2.16614723583e-07
Bhattacharyya, Pushpak ==> 0.000472938292774
Clark, Stephen ==> 0.00234976846398
Dayang, Shen ==> 1.61399880001e-05
Monte, Enric ==> 4.09302651579e-08
Sun, Ye ==> 1.48046682884e-06
Asher, Nicholas ==> 0.000551631101352
Beale, Stephen ==> 0.000291012794939
Castano, Jose M. ==> 6.08231878656e-05
Liang, Lin ==> 0.0
Hu, Rile ==> 1.13393742117e-05
Lee, Chi-Hoon ==> 1.67825603043e-07
Busby, George ==> 9.31849921209e-07
Burstein, Jill ==> 0.000614948665863
Taura, Kenjiro ==> 2.55708406023e-08
Tom, Janet ==> 0.0
Winkel, Adam ==> 6.20692577862e-07
Kaplan, S. Jerrold ==> 0.000171572022732
Busemann, Stephan ==> 0.000412772141826
Ichikawa, A. ==> 2.7977552966e-07
Hahn, Stefan ==> 2.47377806892e-08
Mann, Gideon S. ==> 0.000825662835312
Musgrave, Simon ==> 5.2685952627e-08
Samy, Doaa ==> 2.46970485949e-06
Israel, David J. ==> 3.30714807485e-05
Davis, Jenny ==> 0.0
Johnson, Christopher ==> 3.40785178591e-07
YingJu, Xia ==> 2.74182038732e-08
Wright Hastie, Helen ==> 2.13566913752e-06
Izagirre, Eli ==> 2.51199283733e-06
Brandow, Ronald ==> 1.23959119402e-05
Cimiano, Philipp ==> 2.2162749884e-05
Weimer, Markus ==> 3.34741571084e-05
Leidner, Jochen L. ==> 2.2272548431e-05
Hartmann, Knut ==> 0.0
Bonneau-Maynard, Hélène ==> 1.15622266086e-06
Psutka, J. ==> 5.41614293442e-10
Yuura, Katsuhiko ==> 3.69987244214e-05
Kukich, Karen ==> 0.000619276616185
Yamasaki, Noriyuki ==> 1.9122102592e-07
Ritz, Julia ==> 1.78837723134e-08
O'Donnell, Michael ==> 7.37639226189e-05
Ibrahim, Ali ==> 2.49627007458e-06
Agarwal, Abhaya ==> 3.04610396409e-05
Abouzakhar, Nasser ==> 3.26768703481e-07
Sanchez, Antonio Vaquero ==> 0.0
Sehgal, Aditya Kumar ==> 0.0
Yuen, Denis ==> 6.72085110855e-08
Deksne, Daiga ==> 1.0172348868e-07
Nahnsen, Thade ==> 1.22248809052e-06
Elhadad, Noemie ==> 1.52449612739e-05
Kaisser, Michael ==> 6.73391658716e-06
Ylilammi, Matti ==> 1.12417627745e-05
Cappé, Olivier ==> 8.58752647427e-09
Feng, Junlan ==> 3.45616000913e-07
Engel, Donald ==> 5.49533132934e-08
Alonso Alemany, Laura ==> 2.56214534351e-06
Xia, Xinsong ==> 1.13485261844e-05
Strzalkowski, Tomek ==> 0.0030562449934
Winters, Scott ==> 5.59095917839e-05
Binnick, Robert I. ==> 0.0
Suh, Sungki ==> 5.20315949444e-08
Light, Marc ==> 0.000773399537642
Steedman, Mark ==> 0.00316567548988
Tsai, Dylan B. S. ==> 3.06235538358e-06
Yu, Jin ==> 1.68270499828e-05
Kerre, Etienne ==> 1.26987089074e-08
Freeman, Andrew ==> 4.10911871863e-05
Fisher, Seeger ==> 4.88148239605e-06
Sawai, Susumu ==> 0.0
Marciniak, Tomasz ==> 6.80874224427e-06
Langkilde, Irene ==> 0.000635199014435
Pentheroudakis, Joseph ==> 0.0
Cartwright, Timothy A. ==> 0.0
Bieler, Heike ==> 3.81026298749e-08
Eastmond, John F. G. ==> 2.36798896695e-08
Gillick, Dan ==> 3.36070632255e-08
Schuler, William ==> 4.08645924137e-05
Tsuruoka, Akio ==> 0.0
Gallo, Carlos Gómez ==> 0.0
Zeiler, Shawn ==> 1.48046682884e-06
Mariño, José B. ==> 4.61943649136e-09
Sarma, Vaijayanthi ==> 0.0
Myllari, Aleksandr ==> 2.34432246005e-07
El-Kahlout, Ilknur Durgar ==> 0.0
Dunne, Simon ==> 1.0148895572e-08
Manandhar, Suresh ==> 0.000167071876039
Rabiega-Wisniewska, Joanna ==> 3.13316142466e-06
Santaholma, Marianne ==> 8.92258030025e-06
Katz, Karen ==> 0.000127673577466
Gruenstein, Alexander ==> 7.0694728228e-05
Snyder, Benjamin ==> 0.000118340825974
Jauhiainen, Krista ==> 0.0
Okamoto, Jun ==> 0.0
Dahlback, Nils ==> 0.000167553798737
Cui, Hang ==> 7.73587263122e-07
Kirsten, Mathias ==> 7.30373723275e-07
Mitra, Pabitra ==> 1.53093664287e-05
Shieber, Stuart M. ==> 0.0082037532299
Lua, Kim-Teng ==> 4.1657059004e-06
Kohl, Dieter ==> 1.29136834656e-06
Albrecht, Joshua ==> 2.04093241092e-06
Bestougeff, Helene ==> 0.0
Benedict, Richard ==> 2.44506678105e-08
Shrestha, Lokesh ==> 1.09510260648e-06
Kveton, Pavel ==> 7.17927437696e-05
Wolska, Magdalena ==> 0.000227064711743
Yu, Bin ==> 6.80333249549e-08
Kato, Susumu ==> 1.17983934883e-09
Reddy, Manohar ==> 2.36216930701e-06
Gomez-Rodriguez, Carlos ==> 3.89167223817e-08
Canisius, Sander ==> 1.71600826258e-05
Ibushi, Katsutoshi ==> 5.38984766117e-06
Hardy, Hilda ==> 4.32659102359e-06
Oh, Jong-Hoon ==> 3.10391866189e-05
Kambayashi, Yahiko ==> 0.0
Semecky, Jiri ==> 1.23536006275e-05
Xu, Wei ==> 2.12240025119e-05
De Rossi, Gianluca ==> 4.58499035657e-07
Zhao, Jun ==> 0.000196494587953
Liu, Juan ==> 1.90785217991e-10
Ooyama, Yoshifumi ==> 3.16203207505e-06
Gillon, Brendan S. ==> 1.07367243831e-08
Takeuchi, Masahito ==> 1.3423625601e-08
Vega, Jose ==> 4.82305520218e-07
Laws, Florian ==> 1.54277203303e-06
Simonova, O. P. ==> 1.23883131627e-08
Coheur, Luisa ==> 4.32497903587e-06
Liden, Per ==> 9.21424171996e-06
Consoli, Carlo ==> 8.52880928647e-08
Ceberio, Klara ==> 3.24826487463e-09
Biermann, Alan W. ==> 0.00148745675792
Horacek, Helmut ==> 0.000600875239776
Liu, Jianyi ==> 1.24115447117e-08
Bian, Guo-Wei ==> 5.97747206421e-06
Volosen, Ionut ==> 3.85666002906e-09
Ovrelid, Lilja ==> 3.23777383269e-06
Thompson, Henry S. ==> 0.000569282861684
Li, Fangtao ==> 2.89147572601e-08
Cristea, Dan ==> 5.91547371189e-05
De Meulder, Fien ==> 0.000112354691331
Witten, Ian H. ==> 0.000136492570854
Lopez-Lopez, Aurelio ==> 2.22282671104e-07
Mangu, Lidia ==> 7.49677257095e-07
Kass, Robert ==> 1.7682262309e-06
Spiezio, Antonella ==> 0.0
Giampiccolo, Danilo ==> 7.84581052604e-07
Rajah, Sonya ==> 0.0
Shaked, Nava A. ==> 0.0
Iordanskaja, Lidija ==> 2.09990881631e-06
Zhang, Byoung-Tak ==> 8.36257214458e-05
He, Saike ==> 3.2668007677e-08
Kornai, András ==> 0.00013545926503
Rabiner, Lawrence R. ==> 3.73836829765e-06
Ubaldino, Marc ==> 2.20647038611e-09
Yip, Kenneth Man-Kam ==> 2.53869716473e-07
Lin, Winston ==> 7.59344292296e-06
Smith, Ira ==> 8.36235361604e-06
Yaginuma, Yoshitomo ==> 1.72059905037e-10
Zhang, Peng ==> 8.31891271251e-07
Mima, Hideki ==> 8.71588234467e-06
