 ==> 0.00201519580503
Kit, Chunyu ==> 0.000330763091505
Filimonov, Denis ==> 4.44718809105e-05
Megerdoomian, Karine ==> 4.73195568417e-05
Fuchi, Takeshi ==> 4.13930059102e-05
Kanda, Naoyuki ==> 2.50109934736e-05
Maxwell, Kerry G. ==> 3.37972834466e-05
Nederhof, Mark-Jan ==> 0.000284790731856
Weiss, Brian ==> 2.60793155132e-05
Kalmar, Paul ==> 2.77985611223e-05
Leermakers, Rene ==> 3.70777643595e-05
Yamada, Sae ==> 1.62309951658e-05
Chen, Conrad ==> 3.36195445874e-05
Schutze, Carson T. ==> 7.70035896198e-05
Sato, Kengo ==> 9.08838443679e-05
Root, Rebecca ==> 2.71749792182e-05
Jacobs, Paul S. ==> 0.000372672331797
Schneider, David ==> 0.000116864185066
Chakaravarthy, Venkatesan T. ==> 2.2713477709e-05
Correira, Alfred ==> 1.9888772428e-05
Suktarachan, Mukda ==> 6.69336633214e-05
Ragheb, Ahmed ==> 1.61905935749e-05
Matsushita, Mitsunori ==> 2.68222224075e-05
Bunker, Ross T. ==> 0.000202965441404
Irwin, Joseph ==> 1.67015028641e-05
Zhitomirsky-Geffet, Maayan ==> 3.68377296606e-05
Callaghan, Paul ==> 3.55996140949e-05
Bungeroth, Jan ==> 1.85020388611e-05
Mercer, Robert L. ==> 0.00310660280853
Huggins, Jonathan ==> 1.68633942775e-05
Piwek, Paul ==> 3.97922904786e-05
Wu, Mingli ==> 9.30718710576e-05
Bringert, Bj&#246;rn ==> 3.42128442454e-05
Rimon, Mori ==> 8.52853530492e-05
Van Guilder, Linda ==> 3.15445179231e-05
Ko, David ==> 2.98343546467e-05
Asker, Lars ==> 0.000129802236509
Kelly, Diane ==> 5.43617024503e-05
Itoh, Nobuyasu ==> 3.89463963746e-05
Nagata, Ryo ==> 0.000148611550977
Wong, Yuk Wah ==> 0.000131185099105
Fillmore, Nathanael ==> 2.27342851975e-05
Verleg, Andre ==> 0.000141007019795
Gali, Karthik ==> 6.90219395516e-05
Rijke, Maarten ==> 3.83212472221e-05
Mitchell, Tom T. ==> 6.01883179112e-05
Auli, Michael ==> 4.89588668898e-05
Correia, Anabela ==> 2.81762277776e-05
Arosio, Fabrizio ==> 5.00729936506e-05
Zhao, Qunhua ==> 3.3808771494e-05
Rajan, Jayant V. ==> 6.74608792607e-05
Chien, Arnold J. ==> 1.95089486942e-05
Hacioglu, Kadri ==> 0.000679611600072
Halldorsson, Magnus M. ==> 3.01992413577e-05
Henschel, Renate ==> 0.000147272358212
Krovetz, Robert ==> 3.76557839971e-05
Davis, Mark W. ==> 3.11748520128e-05
Goldberg, Jeff ==> 2.42896410087e-05
Wilpon, Jay G. ==> 5.79267573503e-05
Saarikoski, Harri M. T. ==> 2.09838856875e-05
Fleisch, Axel ==> 2.76210928425e-05
Su, Fangzhong ==> 8.21786539103e-05
Arehart, Mark ==> 1.67067083937e-05
Lee, Jae-Won ==> 4.39803157616e-05
Spiro, Rand J. ==> 1.59188437943e-05
Rogers, James ==> 9.29676916019e-05
Yoshie, Makoto ==> 2.29682060635e-05
Miguel, Mario Crespo ==> 1.8939521884e-05
