Ucoluk, Gokturk ==> 2.56494208494e-05
Filimonov, Denis ==> 6.11351716745e-05
Megerdoomian, Karine ==> 3.95950688899e-05
Fuchi, Takeshi ==> 3.13263455186e-05
Kanda, Naoyuki ==> 2.66287521242e-05
Maxwell, Kerry G. ==> 2.68944244658e-05
Pal, Santanu ==> 7.24004339356e-05
Nederhof, Mark-Jan ==> 0.000269710533913
Weiss, Brian ==> 2.07304021288e-05
Kalmar, Paul ==> 2.76714778705e-05
Leermakers, Rene ==> 2.98293350994e-05
Schreitter, Stephanie ==> 1.94959919142e-05
Yamada, Sae ==> 1.38107837444e-05
Wyse, Brendan ==> 1.52588790396e-05
Chen, Conrad ==> 3.66742242059e-05
Schutze, Carson T. ==> 6.62940787744e-05
Sato, Kengo ==> 5.96254135723e-05
Roy, Maxim ==> 3.2828082217e-05
Root, Rebecca ==> 2.28482571818e-05
Jacobs, Paul S. ==> 0.000289690571707
Schneider, David ==> 9.1771576037e-05
Chakaravarthy, Venkatesan T. ==> 3.04480938602e-05
Correira, Alfred ==> 1.70528362487e-05
Last, Mark ==> 6.21370082997e-05
Ragheb, Ahmed ==> 1.38753500912e-05
Zhou, Xiao ==> 1.41630948807e-05
Matsushita, Mitsunori ==> 2.18432678681e-05
Kaplan, Frederic ==> 3.61264096485e-05
Bunker, Ross T. ==> 0.000161344661946
Irwin, Joseph ==> 2.94586053124e-05
Zhitomirsky-Geffet, Maayan ==> 0.000130251960512
Callaghan, Paul ==> 2.96691888683e-05
Bottner, Michael ==> 2.34738946428e-05
Goehring, Anne ==> 2.40789641527e-05
Mercer, Robert L. ==> 0.00251330985004
Huggins, Jonathan ==> 1.43543099931e-05
Piwek, Paul ==> 5.70460206784e-05
Wu, Mingli ==> 8.50394621652e-05
Machado, Andr&eacute; ==> 2.13975326228e-05
Rimon, Mori ==> 6.93061574897e-05
Hagen, Eli ==> 2.80688429658e-05
Wilson, Shomir ==> 1.9319114208e-05
Van Guilder, Linda ==> 2.51882627688e-05
Ko, David ==> 2.38463179803e-05
Everson, Richard ==> 3.28044559301e-05
Asker, Lars ==> 9.56413549389e-05
Wang, Yong-Cheng ==> 2.473265911e-05
Kelly, Diane ==> 4.23133765111e-05
Itoh, Nobuyasu ==> 3.02626504773e-05
Mujdricza-Maydt, Eva ==> 3.20674040087e-05
Rusk, Gregory M. ==> 2.17499488951e-05
Wong, Yuk Wah ==> 0.000144170798452
Fillmore, Nathanael ==> 2.5879513034e-05
Turhan, Cigdem Keyder ==> 2.13661299993e-05
Verleg, Andre ==> 0.00011937682471
Rawal, Chetan ==> 1.35809728039e-05
Gali, Karthik ==> 8.23145489751e-05
Koeva, Svetla ==> 5.32603038873e-05
S&aacute;ndor, &Aacute;gnes ==> 1.77059772986e-05
Pan, Ching-Fen ==> 1.56259950638e-05
Auli, Michael ==> 0.000118942375935
Turchin, Alexander ==> 2.91668635495e-05
Arosio, Fabrizio ==> 4.23550734367e-05
Moreno, Asunci&oacute;n ==> 7.28484934595e-05
Zhao, Qunhua ==> 2.84309857089e-05
Zhai, Zhongwu ==> 3.47962905361e-05
Rajan, Jayant V. ==> 5.14674285018e-05
Chien, Arnold J. ==> 1.66394229041e-05
Hacioglu, Kadri ==> 0.000534191221746
Halldorsson, Magnus M. ==> 2.38056348308e-05
Henestroza Anguiano, Enrique ==> 7.78483358478e-05
Henschel, Renate ==> 0.000115064250094
Tomasoni, Mattia ==> 2.94967852634e-05
Oken, Barry ==> 2.02317133811e-05
Krovetz, Robert ==> 4.59451916357e-05
Davis, Mark W. ==> 2.66413983419e-05
Reddy, Siva ==> 5.58167183962e-05
Goldberg, Jeff ==> 1.99185225664e-05
Wilpon, Jay G. ==> 4.62948383955e-05
Be&ntilde;a, Peter ==> 3.38418972662e-05
Finlayson, Mark ==> 4.64440705554e-05
&#x106;avar, Damir ==> 3.11565456651e-05
Fleisch, Axel ==> 2.25018296302e-05
Choejey, Pema ==> 1.62674462648e-05
Su, Fangzhong ==> 8.72970798503e-05
Tsukahara, Nobuyuki ==> 3.51474299438e-05
Vazov, Nikolai ==> 3.2627297226e-05
Kumamoto, Tadahiko ==> 1.56834379628e-05
Lee, Jae-Won ==> 3.54999403764e-05
Spiro, Rand J. ==> 1.36414870137e-05
Murthy, Karin ==> 3.37668905863e-05
Rogers, James ==> 7.48097779325e-05
Yoshie, Makoto ==> 1.89336389198e-05
Miguel, Mario Crespo ==> 1.57760948356e-05
Solway, Ben ==> 1.49144246003e-05
Merlo, Paola ==> 0.000663280602319
Ross, Kenneth M. ==> 4.48006033383e-05
Langeweg, Simone ==> 1.37662804222e-05
Joyce, Terry ==> 1.53135803488e-05
Katsumaru, Masaki ==> 4.82326553417e-05
Rooth, Mats ==> 0.000385143937347
Vercoe, Barry ==> 1.64837262187e-05
Vu, Thuy ==> 4.79887600028e-05
Cheikes, Brant A. ==> 1.53597260589e-05
Wedekind, Jurgen ==> 0.000177844085583
Tchalakova, Maria ==> 1.37769296793e-05
Sharman, R. A. ==> 4.04950157504e-05
Ravichandran, Deepak ==> 0.000539450057637
Wang, Ziqi ==> 3.22303180584e-05
Myers, Karen ==> 6.09515019338e-05
Gillam, Lee ==> 2.04935443603e-05
Davy, Ian P. ==> 3.52642134958e-05
Hoeks, John ==> 1.69908556437e-05
Cicekli, Ilyas ==> 3.05927314825e-05
Ruangrajitpakorn, Taneth ==> 2.70308007947e-05
Meyer-Viol, Wilfried ==> 2.07408336909e-05
Buchberger, Ernst ==> 4.61489746727e-05
Rodrigues, Paul ==> 1.87980119487e-05
Berger, Adam L. ==> 0.000907864848868
Kato, K. ==> 2.62158699529e-05
Keller, Nicholas ==> 4.3135323324e-05
Kupin, Joseph ==> 1.87166832736e-05
Poka, Venkateswarlu ==> 2.00657440067e-05
Aharodnik, Katsiaryna ==> 2.13595804045e-05
Hoeppner, Wolfgang ==> 1.47819944358e-05
Wu, Shih-Hung ==> 7.07390373937e-05
Tepper, Michael ==> 1.9911490148e-05
Wu, Chien-Cheng ==> 1.88516030778e-05
Bottcher, Martin ==> 1.73518464398e-05
Levy, Leon S. ==> 1.45636560444e-05
Guillotin, T. ==> 2.54846866422e-05
Ligorio, Tiziana ==> 7.06235538605e-05
Harabagiu, Sanda M. ==> 0.001050955519
Gaiffe, Bertrand ==> 2.57114914176e-05
Johnson, Aaron ==> 2.25397196541e-05
Suktarachan, Mukda ==> 5.27584798656e-05
Lua, KimTeng ==> 3.98601810433e-05
Shoshani, Arie ==> 1.80638105402e-05
Stolbach, Sara ==> 4.27321240657e-05
Hussmann, Michael J. ==> 1.87836568927e-05
Huang, Fang-Lan ==> 1.43692520406e-05
Korkmaz, Emin Erkan ==> 2.56494208494e-05
Lavelli, Alberto ==> 0.000248427742755
Zhu, Wei-Zhong ==> 2.13810224248e-05
R&auml;&auml;bis, Andriela ==> 2.70606773616e-05
Pollard, Elaine ==> 2.15292297659e-05
Ohta, Tomoko ==> 0.000828702383617
Miwa, Makoto ==> 0.000176545228662
Nunes, Maria das Gra&ccedil;as Volpe ==> 1.93142132574e-05
Herzog, Martha ==> 2.05200625021e-05
Menn, Lise ==> 2.84245131111e-05
Hemphill, Charles T. ==> 0.00012897575521
Tomabechi, Hideto ==> 6.20442022148e-05
May, Jonathan ==> 0.000156515325923
Parvaz, Dan ==> 3.66799060887e-05
Han, Kyoung-Soo ==> 2.25388747575e-05
Ulmann, Martin S. ==> 1.5824850301e-05
Lintean, Mihai ==> 1.52588790396e-05
